"cod_reg";"ano";"tri";"t01";"t02";"t03";"t04";"t05";"t09";"t10";"t11";"t12";"t13";"t14";"t15";"t16";"t17";"t18";"t19";"t20";"t201";"t202";"t203";"t21";"t22";"t23";"t24";"t25";"t26";"t27";"t28";"t29";"t30";"t31";"t32";"t33";"t34";"t35";"t36";"t37";"t38";"t39";"t40";"t41";"t42";"t43";"t44";"t45";"t46";"t47";"t48";"t49";"t50";"t51";"t52";"t53";"t54";"t55";"t56";"t57";"t58";"t59";"t60";"t61";"t62";"t63";"t65";"t66";"t67";"t68";"t69";"t70";"t71";"t72";"t73";"t74";"t75";"t76";"t77";"t78";"t79";"t80";"t81";"t82";"t83";"t84";"t85";"t86";"t87";"t88";"t89";"t90";"t91";"t92"
"37";1996;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";1996;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";1996;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";1996;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";1996;2;2748;NA;13471;635;65695;NA;823;NA;NA;NA;NA;3;20217;NA;13984;371;NA;235;NA;NA;1109;NA;55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6799;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4718;6;NA;17;NA;NA;NA;5;NA;22;NA;NA;NA;7;NA;3;NA;42;NA;2;4959;16419;NA;NA;NA;7599;NA;465;NA;NA;NA;16527;110267;NA;85342;NA;463;NA
"20";1996;2;1332;NA;13655;578;25900;NA;240;NA;NA;NA;NA;0;8101;NA;3847;280;NA;184;NA;NA;803;NA;38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8041;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5469;2;NA;12;NA;NA;NA;0;NA;7;NA;NA;NA;0;NA;1;NA;16;NA;0;2397;6082;NA;NA;NA;2969;NA;610;NA;NA;NA;10653;56829;NA;45842;NA;160;NA
"30";1996;2;3403;NA;61319;2155;80009;NA;3432;NA;NA;NA;NA;0;45722;NA;5373;929;NA;526;NA;NA;682;NA;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26397;7;NA;26;NA;NA;NA;7;NA;26;NA;NA;NA;9;NA;1;NA;85;NA;4;11232;9482;NA;NA;NA;1713;NA;1171;NA;NA;NA;33052;229306;NA;173312;NA;1102;NA
"99";1996;2;7483;NA;88445;3368;171604;NA;4495;NA;NA;NA;NA;3;74040;NA;23204;1580;NA;945;NA;NA;2594;NA;141;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36584;15;NA;55;NA;NA;NA;12;NA;55;NA;NA;NA;16;NA;5;NA;143;NA;6;18588;31983;NA;NA;NA;12281;NA;2246;NA;NA;NA;60232;396402;NA;304496;NA;1725;NA
"31";1996;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";1996;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
