"";"periodo";"cod_reg";"item";"Total"
"367";"2022/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";7
"368";"2022/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";11
"369";"2022/1º Semestre";30;"HOMICÍDIO DOLOSO - TOTAL";15
"370";"2022/1º Semestre";10;"LESÃO CORPORAL DOLOSA";819
"371";"2022/1º Semestre";20;"LESÃO CORPORAL DOLOSA";730
"372";"2022/1º Semestre";30;"LESÃO CORPORAL DOLOSA";2341
"373";"2022/1º Semestre";10;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";2
"374";"2022/1º Semestre";20;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";3
"375";"2022/1º Semestre";30;"HOMICÍDIO DOLOSO (exclui FEMINICÍDIO)";15
"376";"2022/1º Semestre";10;"FEMINICÍDIO";1
"377";"2022/1º Semestre";20;"FEMINICÍDIO";2
"378";"2022/1º Semestre";30;"FEMINICÍDIO";8
"379";"2022/1º Semestre";10;"HOMICÍDIO DOLOSO - TOTAL";3
"380";"2022/1º Semestre";20;"HOMICÍDIO DOLOSO - TOTAL";5
"381";"2022/1º Semestre";30;"HOMICÍDIO DOLOSO - TOTAL";23
"382";"2022/1º Semestre";10;"LESÃO CORPORAL DOLOSA";670
"383";"2022/1º Semestre";20;"LESÃO CORPORAL DOLOSA";638
"384";"2022/1º Semestre";30;"LESÃO CORPORAL DOLOSA";2156
